stationId	latitude	longitude
IRGIONWA63	50.65825	5.71539
IHERVE52	50.68192	5.82077
IHERVE16	50.6763	5.7922
IAUBEL12	50.711	5.846
IVOERE9	50.72917	5.82886
IHERVE105	50.66531	5.75225
IHERVE12	50.65309	5.82502
IDALHE7	50.74	5.735
IHERVE98	50.64195	5.82409
IVOEREN8	50.72276	5.89194
IWELKE4	50.67347	5.92346
IWELKE3	50.67347	5.9235
IPLOMB1	50.72651	5.92404
IPLOMB3	50.72652	5.92405
IWELKE7	50.678	5.934
IVOERE10	50.747	5.882
IPLOMB4	50.71602	5.9794
ILONTZ1	50.687	6.003
ILONTZ7	50.681	5.99
ILACAL12	50.721	6.013
IWALLOON3	50.69102	6.03281
ILACALAM3	50.70833	6.03645
ILACAL11	50.721	6.021
IKELMI1	50.725	6.018
IRAERE2	50.698	6.048
IAACHE21	50.719	6.039
IRAERE1	50.69	6.087
IRAERE6	50.6912	6.08443
IRAERE5	50.689	6.086
IRAERE12	50.684	6.094
IRAERE11	50.71314	6.12142
IWALHAUS2	50.7044	6.05788
IRAERE7	50.66923	6.11249
IROETG20	50.695	6.217
IAACHE48	50.70527	6.18031
ISTOLB3	50.71	6.215
ISTOLB13	50.711	6.215
IROETGEN16	50.69737	6.22321
IAACHE49	50.71265	6.1849
IAACHE60	50.70465	6.17426
IROETG13	50.683	6.206
IAACHEN132	50.71158	6.17896
IROETG14	50.683	6.208
ISTOLB25	50.72	6.264
INORDRHE79	50.6832	6.35963
IHRTGE1	50.71	6.373
IHRTGE3	50.7107	6.37896
ISTOLB37	50.747	6.268
IHRTGE2	50.686	6.378
IKREUZ3	50.718	6.435
IKREUZ4	50.718	6.435
INORDRHE22	50.66807	6.39581
IKREUZAU12	50.71907	6.44414
INIDEG7	50.66507	6.41118
INIDEG9	50.664	6.413
