stationId	latitude	longitude	precipitation
IMALME3	50.473999	6.08	125.97999999999999
IBLLIN7	50.406	6.247	130.12
IBULLA6	50.415001	6.313	100.58000000000001
IHELLE63	50.457	6.396	120.89999999999999
INORDRHE402	50.4618	6.403129	27.689999999999998
INAMUR79	50.475	4.799	43.18
IRGIONWA78	50.46307	4.847392	37.59
ILABRUYR13	50.534767	4.865408	29.71
INAMUR20	50.496952	4.886795	39.11
INAMUR72	50.512343	4.947154	61.730000000000004
IGHEZE13	50.546457	4.907776	37.6
IGHEZE14	50.546596	4.907294	36.58
IWALPETI8	50.521587	5.048214	54.36
IHRON8	50.552	5.053	37.849999999999994
IBURDI1	50.576381	5.14814	46.71
IHUY26	50.533116	5.254008	55.38
IVILLE71	50.561	5.267	68.6
ISERAI4	50.568296	5.532989	118.61999999999999
IDOLEMBR2	50.53104	5.610046	152.89
ISPRIM5	50.516689	5.65676	88.14
ITHEUX20	50.516856	5.781863	162.01
ITROOZ8	50.557	5.725	89.41
IJALHA9	50.514	5.94	221.49
IRGIONWA124	50.524204	5.965255	216.41000000000003
IJALHA4	50.52478	5.968425	279.12
IMONSC7	50.52591	6.222053	112.32
IEUPEN5	50.59	6.1	111.71000000000001
IMONSC6	50.565064	6.198281	129.03
IMONSCHA14	50.534534	6.264097	98.81
IAACHENM1	50.564484	6.21191	88.39
IMONSCHA15	50.567272	6.229394	139.98000000000002
INORDRHE241	50.561131	6.256075	88.13999999999999
INORDRHE452	50.516014	6.407517	143.99
IHELLE21	50.481998	6.496	197.10000000000002
IPERWE1	50.627389	4.805558	34.04
IPERWE2	50.634	4.785	44.8
IRAMIL1	50.633	4.864	32.79
IGEMBLOU21	50.575809	4.716853	30.23
IGHEZE6	50.574	4.891	38.4
IGEMBL3	50.57	4.699	42.67
IBRAIV6	50.617	5.097	47.519999999999996
IHANNU14	50.633446	5.089993	39.120000000000005
IHANNU13	50.639663	5.086498	47.8
IHANNU8	50.663	5.051	38.61
IBRAIVES5	50.634949	5.158643	44.19
ITOURINN3	50.638779	5.177727	31.240000000000002
IVILLE189	50.585281	5.280034	62.480000000000004
IGEER8	50.668	5.188	41.7
IVERLA3	50.603267	5.311691	54.099999999999994
ISAINT1455	50.648	5.516	111.71
ISAINT2727	50.625152	5.538399	48.510000000000005
ILIGE75	50.622912	5.559157	34.4
ILIGE70	50.63	5.555	66.8
ILIGE78	50.597	5.575	96.00999999999999
ILIGE73	50.619667	5.576904	81.31
IRGIONWA46	50.585712	5.6168	121.0
ILIGE38	50.632984	5.579376	62.23
ILIGE76	50.62892	5.635324	115.06
IOLNE3	50.606	5.705	155.45
IFLRON12	50.628	5.702	148.07999999999998
IRGIONWA3	50.607231	5.747346	158.21
IDISON3	50.609	5.863	140.20999999999998
IBAELE11	50.63	5.968	100.33000000000001
ITHIMIST7	50.64917	5.865667	144.52
IBAELE8	50.631835	6.004354	125.22
IBAELE10	50.633	6.002	48.510000000000005
IEUPEN19	50.648792	6.054296	114.56
IRAERE10	50.660443	6.11196	173.81
IRAERE9	50.669	6.111	122.19999999999999
IMONSCHA16	50.576252	6.22925	116.33
IMONSC8	50.574	6.225	117.86000000000001
